,full_date,Event,Location,Latitude,Longitude
878,,National Day of Remembrance for Murdered Victims,"107-33 Sutphin Blvd. Jamaica, NY 11435",40.693719,-73.800158
879,,Senior Appreciation Brunch - Senator Leroy Comrie's Office,"Thomasina's Catering Hall 205-35 Linden Blvd, Queens, NY 11412",40.696052,-73.74689
880,,CM Brooks-Powers Senior Dance Event,"O'Donohue Park Beach 17th Street and Seagirt Boulevard, Far Rockaway",40.596932,-73.750948
881,,101 Precinct Sector D Build the Block,57-10 Beach Channel Drive Far Rockaway,40.594769,-73.78767
882,,"Meeting with Bob Monahan, President The Greater Ridgewood Youth Council","59-03 Summerfield Street Ridgewood, NY 11385",40.699429,-73.89803
883,,Pastor Phil Craig's 10 Pastoral Anniversary,"Greater Springfield Community Church 177-06 129th Avenue, Jamaica NY 11434",40.680303,-73.765213
884,,The Floating Hospital Video Filming + Tour,"21-01 41st Ave, Queens, NY 11101",40.753955,-73.942126
885,,Hispanic Heritage Month Celebration,"La Boom 56-15 Northern Blvd, Woodside NY 11377",40.753706,-73.90444
886,,Woodside on the Move Hispanic Heritage Month Celebration,"51-23 Queens Blvd, Queens, NY 11377",40.74283,-73.913165
887,,109 Precinct Community Council meeting,Bowne Street Community Church - 143-11 Roosevelt Avenue.,40.601299,-73.745267
888,,Rock Safe Street Office Ribbon Cutting Event,"34-11 Beach Channel Drive, Far Rockaway",40.596639,-73.76736
889,,Senior Safety Seminar - SNAP,"133-33 Brookville Boulevard, Suite LL5, Rosedale NY 11422",40.674139,-73.732684
890,,Borough President Richards A Shadow Pandemic: Domestic Violence Awareness Panel and Resource Fair.,Helen Marshall Cultural Center 120-55 Queens Boulevard (Borough Hall),40.712832,-73.827396
891,,Diwali planning  meeting and site visit,"Gurjari Samaj of NY 17315 Horace Harding Expy, Queens, NY 11365",40.738838,-73.795859
892,,Jamaica Avenue Gun Buy back flyer distribution,Jamaica Avenue,40.717346,-73.740454
893,,Resorts World 10th Anniversary Celebration,"110-11 Rockaway Blvd. Ja., NY",40.677501,-73.827595
894,,Mount Carmel Baptist Church,"338 Beach 70th Street, Averne NY 11692",40.5923,-73.793273
895,,Battalion Pentecostal Assembly Inc.,"454 Beach 67th Street Arverne, NY 11692",40.5923,-73.793273
896,,First Congregational Church,320 Beach 94th Street Rockaway Beach NY 11693,40.590692,-73.809749
897,,NYS Court Officers Assoc. 43rd Annual Awards Ceremony,"Russo's On the Bay 162-45 Cross Bay Blvd. Howard Beach, NY",40.680313,-73.844456
898,,111 Precinct Community Council Meeting,"111 Precinct 45-06 215th St, Bayside, NY 11361",40.680313,-73.844456
899,,Diwali event walk thru at Gujrati Samaj of NY,"Gurjari Samaj of NY 17315 Horace Harding Expy, Queens, NY 11365",40.738838,-73.795859
900,,TWA Gateway JFK Bid Gala,"TWA Hotel One Idlewild Drive (JFK Access Road) JFK International Airport,  NY 11430	",40.655246,-73.797769
901,,Laurelton Farmers Market,"Laurelton LIRR - 224-06 141st Rd, Rosedale, NY 11422",40.659418,-73.736866
902,,Gun Buyback Program,"100-10 Astoria Boulevard, East Elmhurst, NY - Enter at 101st and 31st Avenue",40.659418,-73.736866
903,,Diwali Celebration,"17315 Horace Harding Expy, Queens, NY 11365",40.738838,-73.795859
904,,UCCA Board Meeting,"Trattoria L'Incontro, 21-76 31st St, Astoria, NY 11105",40.776457,-73.910577
905,,Diwali Parade at Baba Makhan Lubana Sikh Center,"113-10, 101st Ave South Richmond Hill, NY 11419",40.688619,-73.830245
907,,Turkey Giveaway with the Richmond Hill South Ozone Park Lions Club,Sophia's Pizza (in front) 112-15 Linden Boulevard,40.704592,-73.908247
908,,110th Precinct Community Council Meeting,"51-11 108th Street, Corona, NY 11368",40.743622,-73.854924
909,,John Adams High School Presentation to the 9th Grader,"101-01 Rockaway Blvd, Ozone Park, NY 11417",40.678936,-73.837068
910,,Transgender Day of Remembrance and Resilience,"83-22 Baxter Ave., Elmhurst, NY 11373",40.74752,-73.882486
911,,Turkey Giveaway - King of Kings,"Praise Tabernacle Church, Parking Lot 10811 Sutphin Blvd, Jamaica, NY 11435",40.695475,-73.803307
912,,"Turkey Giveaway - Hands That Unite, Inc","Burns Memorial Church of God Parking Lot - 10709 150th St, Jamaica, NY 11435",40.694173,-73.800725
913,,NYPD DESI SOCIETY TURKEY DRIVE,"Ozone  Park Church of the Nazarene - 128-03 Foch Blvd, South Ozone Park, NY 11420",40.675957,-73.809836
914,,College Point Civic Association Tree Lighting,"Hermon A. MacNeil Park Poppenhusen Ave. & 119th Street College Point, NY 11356",40.788505,-73.848702
915,,Turkey Giveaway - I. Daneek Miller's Office,Shiloh Baptist Church - 173-70 106th Avenue Jamaica NY 11433,40.702722,-73.780995
916,,Alicia Hyndman American Legion Post 483,"240-08 135th Ave Rosedale, NY 11422",40.671976,-73.734323
917,,APAG Turkey GiveAway 3rd Annual,"108-19 101 aVE RICHMOND HILL, NY 11419",40.687575,-73.83483
918,,PSA9 Community Board,"35-40 21st Street,Ravenswood, New York  11106",40.760486,-73.936701
919,,Meeting w/ Evangel Christian Center: DA Visit,"Evangel Church 39-20 27th Street, Long Island City 11101",40.75353,-73.936936
920,,Haitian American Veterans Association Food Distribution,209-05 Jamaica Avenue,40.714878,-73.750453
921,,Hamilton Beach Christmas Tree Lighting,West Hamilton Beach Firehouse 102-33 Davenport Court,40.653201,-73.83
922,,Queens County VFW Legislative Breakfast,Flanders Field VFW Post 51-11 108 Street Corona 11368,40.743622,-73.854924
923,,"The Sikh Cultural Society, Inc.","95-30 118th Street, Richmond Hill NY 11419",40.690987,-73.828253
924,,Alpha Phi Alpha Senior Center Award Ceremony,"220-01 Linden Blvd, Cambria Heights, NY 11411",40.695226,-73.739954
925,,Holiday Farewell Party for CM Karen Koslowitz,"Forest Hills Towers, 118-35 Queens Blvd., 17th Fl., Forest Hills",40.714554,-73.831459
926,,110th Precinct Community Council Meeting/Holiday Party,"51-11 108th Street, Corona, NY 11368",40.743622,-73.854924
927,,State of the District - I. Daneek Miller,"177-01 Baisley Boulevard, St. Albans NY",40.686195,-73.768463
928,,Queens Youth Jumpstart Career Program,"177-06 129th Ave. Ja, NY 11434",40.680303,-73.765213
929,,Greater Springfield Community Church,"177-06 129th Ave, Jamaica, NY 11434",40.680303,-73.765213
930,,Vallone & Vallone Holiday Party,"2272 31St., Astoria 11105",40.774709,-73.912711
931,,Bay Terrace Library Groundbreaking,"18-36 Bell Blvd, Bayside, NY 11360",40.782591,-73.776868
932,,Pomonok Holiday distribution,"67-09 Kissena Blvd, Flushing, NY 11367",40.735162,-73.81409
933,,Meeting w/ Evangel Christian Center: Coat Drive,"Evangel Church 39-20 27th Street, Long Island City 11101",40.75353,-73.936936
934,,Sen. John Liu's Block Party,"3850 Bell Blvd., Bayside, NY 11361",40.765314,-73.772263
935,,Juniper Park Civic Association holiday party,"61-27 71st St, Middle Village, NY 11379",40.720578,-73.886439
936,,QDA Coat Drive with Evangel Church,"Evangel Church 39-20 27th Street, Long Island City 11101",40.75353,-73.936936
937,,Toys & Hot Chocolate - NYPD Community Affairs Holiday Event,"Brookville Park -149 Ave &, S Conduit Ave, Springfield Gardens, NY 11413",40.670144,-73.845824
938,,"A Cause A Concern A Solution Network Inc
""101 Dalmatians"" TOY DRIVE","91-12 144ths Place, Jamaica NY 11435",40.700263,-73.810064
939,,Baisley Park/ Cedar Manor Holiday Celebration,Baisley Park Houses Basketball Court  116-80 Foch Boulevard Jamaica,40.67552,-73.810879
940,,Greater New Bethel MInistries Award to DA,"215-32 Jamaica Ave, Jamaica , NY",40.71619,-73.744755
941,,How to Decrease Hate and Anti-Semitism,West End Temple 147-02 Newport Ave. Rockaway Park,40.5728,-73.865107
942,,Astoria Homeowners and Tenants &Business Civic Ass meeting,"St. Francis Assisi Catholic Academy @ The Monsignor Maresca Center 21-18 46th St. Astoria, NY 11105",40.7718,-73.900886
943,,Forest Hills Jewish Center Annual Gala,"106-06 Queens Blvd., Forest Hills",40.722453,-73.846257
944,,Bench Dedication for Aamir Griffin,Baisley Houses NYCHA 116-40 Guy R Brewer Blvd,40.661737,-73.768188
945,,Gun Violence Town Hall,"Hassock St and BEach Channel Drive, Far Rockaway",40.608628,-73.753042
946,,100 PCT Build The Block Sector A,Beach Channel Drive,40.581408,-73.851585
947,,Rock Safe Streets Peace Caravan,1551  Hassock Street,40.608814,-73.752803
948,,Build the Block 112 Sector C,"Rego Center Mall 61-35 Junction Blvd, Rego Park, NY 11374",40.732977,-73.863692
949,,114 Build the Block A,Our Lady of Mount Carmel 23-20 Newtown Ave,40.76206,-73.915267
950,,Hinton Park Food Drive,Hinton Park 34-02 114th St. Corona NY 11368,40.755296,-73.854004
951,,9/11 Remembrance Ceremony 110th Pct CC,"94-41 43rd Street Elmhurst, NY 11373",40.745083,-73.870158
952,,110 PCT Comm Council,110th PCT 94-41 43rd Ave. Elmhurst NY 11373,40.745083,-73.870158
953,,NAVA Food Distribution School Bag Giveaway,"Major Mark Park 173-175 Hillside Ave, NY 11434",40.674583,-73.78156
954,,SouthEast Queens Jam Fest,Jamaica Arts Center 153-10 Jamaica Ave.  OUTDOORS,40.70334,-73.800201
955,,Shooting Response Event,29-40 Rockaway Beach Blvd,40.581551,-73.829821
956,,BLM Community Day of Service for Senior Appreciation Month,Jamaica Ave and 150th Street,40.717346,-73.740454
957,,Rosedale Jets & Civic School Giveaway,"144-14 243rd Street, Rosedale, NY 11422",40.660042,-73.739732
958,,PBQN Basketball Clinic,Francis Lewis Park 3rd Ave & 147th Street Whitestone,40.72517,-73.765161
959,,A Fathers Love,Beach 17th Street Far Rockaway NY 11691,40.601475,-73.76191
960,,"American Pakistani Advocacy Group Community OUtreach Event Food Distribution,. Census Voter RegistraTion","108-19 101 Ave RIchmond Hill, NY 11419",40.687575,-73.83483
961,,"Food Distribution, Census & 2020 Voter REg.","108-19 101 Richmond Hill, NY 11419",40.687575,-73.83483
962,,COVID 19 Antibody Testing,"29-11. 36th Avenue Astoria, NY 11106",40.75728,-73.930939
963,,109 PCT National Night Out,Bowne Playground Union and Bowne Street,40.753136,-73.817618
964,,UA 3 Food Distribution,"Bowne Street COmmunity CHurch 143-11 Roosevelt Ave, Flushing NY 11354",40.761543,-73.824056
965,,UA-3 Food Distribution Flushing,Bowne Comm Church 143-11 Roosevelt Ave FLushing,40.761624,-73.822071
966,,Deputy Sandeep Dhaliwal Vigil,"113-10 101 Avenue South Richmond Hill NY, 11419",40.688619,-73.830245
967,,Unity of Community Sikh Prayer,"113-10 101 Ave South RIchmond Hill, NY 11419",40.688619,-73.830245
968,,Hammel Houses NYCHA Bld The Block,"81-14 ROckaway Beach Blvd. Far Rockaway , NY 11693",40.588364,-73.808297
969,,109 PCT Council Meeting,143-11 Roosevelt Ave,40.601299,-73.745267
970,,109th Precinct Community Council,Bowne St. COmmunity CHurch 143-11 Roosevelt Ave,40.601299,-73.745267
971,,Sant Saga Gurdwara Sikh Temple,"242-25 Braddock Ave, Bellerose",40.725916,-73.725419
972,,Gurdwara Sant Sagar Visit,"242-25 Braddock Ave, Queens, NY 11426",40.726024,-73.725404
973,,102nd  Precinct Community Council,"One Stop RIchmond Hill Community Center, 110-08 Jamaica Ave.",40.696866,-73.837167
974,,111 Sector A Build the Block,"Alley Pond Park 76th Avenue and SPringfield Blvd. Oakland Gardens, NY 11364 IFO Environmental Center",40.742772,-73.758831
975,,102 Sector D Build The Block,"George Seuffert Sr. Bandshell Forest Drive Park, Forest Park Woodhaven 11421",40.691917,-73.85666
976,,102nd BUild the Block Sector D Meeting,"George Seuffert Sr. Bandshell Forest Park Drive, Forest Park Woodhaven, NY 11421",40.691917,-73.85666
977,,115 Sector C Build the Block,"79th Street and 34th Avenue, Jackson Heights Greenmarket Jackson Heights, NY 11372",40.750454,-73.887478
978,,Hurricane Sandy Candlelight Vigil,102-33 Davenport Court Hamilton Beach,40.653201,-73.83
979,,111 Sector C Build the Block,"Bayside Senior Center 221-15 Horace Harding Expwy Bayside, NY 11364",40.742772,-73.758831
980,,Al-Furqan  Jame Masjid,76-18 Glenmore Ave. Ozone Park NY 11417,40.677869,-73.860343
981,,Rockaways Trunk or Treat,49-01 Beach Channel Drive,40.595445,-73.781277
982,,National Night Out,"142-30 Barclay Ave, Queens, NY 11355",40.758684,-73.824386
983,,109 Precinct council meeting,143-11 Roosevelt Ave,40.601299,-73.745267
984,,105 Sector B  Build the Block,"240-05 135th Avenue, Rosedale NY 11422",40.671874,-73.734042
985,,Stop The Violence Town Hall Queensbridge Park,"128-01 Liberty Avenue RIchmond Hill, NY",40.689271,-73.81635
986,,GPK Office Ribbon Cutting,"41-66 72ns Street Woodside, NY 11377",40.743211,-73.893116
987,,Watch Dogs Far Rockaway Community  Football & Basketball Showcase,"701 Bay 32 St, Far Rockaway, NY 11691",40.598762,-73.767437
988,,Flushing Chinese Business Association Turkey giveaway,"136-18 39th Ave, Flushing, NY 11354",40.760321,-73.829494
989,,100 Sector B  Build The Block,"Dayton Towers 107-10 Shore Front Parkway , ROckaway Park, NY 11694",40.580585,-73.828117
990,,111 Sector D  Build the Block,"Sacred Heart Church 215-35 38th Avenue Bayside, NY 11361",40.767466,-73.768237
991,,103 Sector B Build the Block,"88-48 193 Street Hollis, NY 11423",40.715284,-73.76867
992,,109 Precinct Community Council Meeting,143-11 Roosevelt Ave,40.601299,-73.745267
993,,Laurelton Farmers Market Holiday Village,Laurelton LIRR Station Parking Lot 224th Street and 141st Road  Laurelton,40.712565,-73.729756
994,,105 Sector D Build the Block,"Queens Public Library 94-11 217th St, Queens, NY 11428",40.719877,-73.739159
995,,Holiday Toy Giveaway School Safety & Queens South YSD,"162-04 Tuskegee Airmen Way, Jamaica NY, 11434",40.699375,-73.794182
996,1/2/2024,111th Precinct Community Council Meeting,"4506 215 St., Bayside",40.7602441,-73.7677809
997,1/4/2024,Community Board 10 Meeting,Old Mill Yacht Club 163-15 Cross Bay Boulevard in Howard Beach,40.651952,-73.8377963
998,1/4/2024,Federated Blocks Of Laurelton,Evangle Temple 227 and Merrick Blvd,40.6836513,-73.7693842
999,1/8/2024,Community Board 11 Meeting,"20305 32 Ave., Bayside",40.7706146,-73.786298
1000,1/9/2024,106th Precinct Community Council Meeting,106th Precinct  103-53 101st St. Ozone Park,40.6822359,-73.8397362
1001,1/10/2024,Community Board 5 Meeting,"6802 Metropolitan Ave., Middle Village",40.71079,-73.8883534
1002,1/10/2024,Community Board 6 Meeting,Queens Borough Hall Room 213,40.7137004,-73.8281571
1003,1/10/2024,Community Board 8 Monthly Meeting,Hillcrest Jewish Center 183-02 Union Turnpike in Fresh Meadows,40.7277029,-73.7851235
1004,1/11/2024,110th Precinct Community Council Meeting,"VFW in Corona, 511 108th St. Corona NY",40.7437945,-73.8551959
1005,1/15/2024,113th Precinct Council Meeting,Rochdale Village Community Center,40.6768746,-73.7727908
1006,1/15/2024,"Living the Dream, It Starts with Me",Jamaica Perfoming arts Center 153-10Jamaica ave,40.7023506,-73.8016052
1007,1/20/2024,San Kiang Charitable Association Banquet Dinner,Royal Queens Resraurant 136-20 Roosevelt Avenue in Flushing,40.7594017,-73.8291601
1008,1/23/2024,114th Community Precicnt Council Meeting,Astoria World Manor,40.7709,-73.9223
1009,1/26/2024,Baisley Park Houses Resident Association Meeting,"164-01 Foch Boulevard, Apt 1G",40.6850103,-73.7822359
1010,1/30/2024,Bayside Hills Civic Association Meeting,Colonial Church of Bayside,40.752301,-73.7634626
1011,1/30/2024,Howard Beach Lindenwood Civic Association Meeting,St Helen Catholic Academy 83-09 157 Avenue in Howard Beach,40.6615023,-73.84953
1012,1/31/2024,105th Precinct Council Meeting,105th Precinct,40.7261564,-73.7351496
1013,2/1/2024,111th Precinct Community Council Meeting,"4506 215 St., Bayside",40.7602441,-73.7677809
1014,2/1/2024,Commnity Board 10 Meeting,Old Mill Yacht Club 163-15 Cross Bay Blvd in Howard Beach,40.651952,-73.8377963
1015,2/7/2024,Community Board 5 Meeting,"6802 Metropolitan Ave., Middle Village",40.71079,-73.8883534
1016,2/8/2024,110th Community Precinct Council Meeting,"VFW in Corona, 511 108th St. Corona NY",40.7437945,-73.8551959
1017,2/9/2024,Sen. John Liu's Lunar New Year Event,"3501 Union St., Flushing",40.764873,-73.826827
1018,2/10/2024,Lunar New Year Parade,109 Precinct Flushing NY,40.762361,-73.8270199
1019,2/11/2024,Queens Jewish Community Council,"Young Israel of Jamaica Estates, 8310 188 St., Jamaica",40.7244947,-73.7791801
1020,2/13/2024,103rd Precinct Council Meeting,York College Faculity room,40.7010415,-73.7961103
1021,2/14/2024,Community Board 6 Meeting,Queens Borough Hall Room 213,40.7137004,-73.8281571
1022,2/14/2024,Queensbridge Resident Association Meeting,"Jacob Riis Settlement - 10-25 41st Street, Long Island City",40.7555691,-73.9445649
1023,2/14/2024,Ravenswood Houses Resident Association,"Ravenswood Community Center 35-40 21 Street, Long Island City",40.760657,-73.9363567
1024,2/15/2024,Community Board 9 Monthly Meeting,Queens Borough Hall,40.7137004,-73.8281571
1025,2/15/2024,Queens District Attorney  Black History Month Celebration,"Rochdale Village Community Center: 169-65 137th Avenue, Jamaica NY",40.674443,-73.7712115
1026,2/19/2024,113th Precinct Council Meeting,157-11 Rockaway Blvd,40.6661851,-73.7789924
1027,2/20/2024,104th Precinct Community Council,St. Margaret's Middle Village,40.7158445,-73.8722606
1028,2/20/2024,Community Board 1 Meeting,Astoria World Manor,40.7709,-73.9223
1029,2/20/2024,Greater Triangular Civic Association,Roy Wilkins Recreational Center,40.6870379,-73.7694259
1030,2/21/2024,Astoria Houses Resident Association,4-05 Astoria Boulevard,40.7732656,-73.9337288
1031,2/21/2024,Community Board 12,Hybrid 17217 Linden Blvd,40.6924305,-73.7776816
1032,2024-2-,Community Board 8 Monthly Meeting,Hillcrest Jewish Center 183-02 Union Turnpike in Fresh Meadows,40.7277029,-73.7851235
1033,2/27/2024,114th Community Precicnt Council Meeting,Astoria World Manor,40.7709,-73.9223
1034,2/28/2024,105th Precinct Council Meeting,105th Precinct,40.7261564,-73.7351496
1035,2/28/2024,Queens Jewish Link Networking Event,"Young Israel of Jamaica Estates 8310 188 St., Hollis",40.7244947,-73.7791801
1036,3/2/2024,Forest Hills Jewish Center Gala Dinner Dance,"Forest Hills Jewish Center, 10606 Queens Blvd., Forest Hills",40.7218073,-73.8475117
1037,3/2/2024,St. Patrick's for All day Parade,Skillman Avenue and 43rd Street to 58th Street and Woodside Avenue.,40.7456454,-73.9064312
1038,3/3/2024,St. Pats for All Day Parade,Skillman Avenue and 43rd Street to 58th Street and Woodside Avenue.,40.7456454,-73.9064312
1039,3/3/2024,Street Naming for Former AM Michael Simanowitz,Corner of Main street & 75th Avenue,40.7239774,-73.8204534
1040,3/4/2024,Community Board 11 Meeting,"KCS, 20305 32 Ave., Bayside",40.7706146,-73.786298
1041,3/5/2024,UNCA,Rochdale Community Center,40.6744349,-73.7710935
1042,3/7/2024,111th Precinct Community Council,"111th Precinct, Bayside",40.7602729,-73.7675997
1043,3/7/2024,Community Board 10 Meeting,Old Mill Yacht Club 163-15 Cross Bay Boulevard in Howard Beach,40.651952,-73.8377963
1044,3/12/2024,103rd Precinct Council Meeting,York College Facuilty Lounge,40.7010415,-73.7961103
1045,3/12/2024,Community Board 14 Meeting,Knights of Columbus 333 Beach 90 Street in Rockaway Beach,40.5886964,-73.8153226
1046,3/12/2024,Community Board 9 Monthly Meeting,Queens Borough Hall,40.7137004,-73.8281571
1047,3/12/2024,Ridgewood Older Adult Center Senior Fraud Presentation,"5917 70 Ave., Ridgewood",40.7014251,-73.899814
1048,3/13/2024,106 Precinct Council Meeting,"106th Precinct  103-53 101st St, Ozone Park",40.6822359,-73.8397362
1049,3/13/2024,Community Board 5 Meeting,"Christ the King High School, 6802 Metropolitan Ave., Middle Village",40.7109983,-73.8883903
1050,3/13/2024,Community Board 6 Meeting,Queens Borough Hall Room 213,40.7137004,-73.8281571
1051,3/13/2024,Community Board 8 Monthly Meeting,Queens Centers for Progress located at 81-15 164th Street.,40.7200334,-73.8037362
1052,3/13/2024,Queensbridge Resident Association Meeting,"Jacob Riis Settlement - 10-25 41st Street, Long Island City",40.7555691,-73.9445649
1053,3/14/2024,110th Community Precinct Council Meeting,"VFW in Corona, 511 108th St. Corona NY",40.7437945,-73.8551959
1054,3/14/2024,QDA Crime Prevention Workshop,"Rochdale Village Community Center: 169-65 137th Avenue, Jamaica NY",40.674443,-73.7712115
1055,3/19/2024,104th Precinct Community Council,"Martin Luther High School, Maspeth",40.7228813,-73.9060731
1056,3/19/2024,115th Precinct Community Council,"115th Precinct 92-15 Northern Blvd., in Jackson Heights",40.7568763,-73.8754942
1057,3/19/2024,Community Board 1 Meeting,Astoria World Manor,40.7709,-73.9223
1058,3/20/2024,101 Precinct Council Meeting,Church of God Christian Academy 1332 Central Avenue in Far Rockaway,40.606866,-73.750181
1059,3/20/2024,Astoria Houses Resident Association,4-05 Astoria Boulevard,40.7732656,-73.9337288
1060,3/20/2024,DA Speaking to Youth Group at Reform Temple of Forest Hills,"71-11 112 St., Forest Hills",40.7226883,-73.8389788
1062,3/20/2024,Northwest Bayside Civic Association Meeting,"OLBS Parish Center, 203 St. & 34 Ave., Bayside",40.766545,-73.7853287
1063,3/21/2024,Community Board 3 Meeting,"Renaissance Charter School 35-59 81st St, Jackson Heights",40.7499835,-73.8851717
1064,3/22/2024,Baisley Park Houses Resident Association Meeting,"164-01 Foch Boulevard, Apt 1G",40.6850103,-73.7822359
1065,3/24/2024,Senator James Sanders Women's History Month Celebration,Rochdale Village Community Center,40.6768746,-73.7727908
1066,3/25/2024,CM Paladino Press Conference re: Squatters,"4320 218 St., Bayside",40.7617673,-73.7642828
1067,3/26/2024,114th Community Precicnt Council Meeting,Astoria World Manor,40.7709,-73.9223
1068,3/26/2024,Howard Beach Lindenwood Civic Association Meeting,St. Helen's Catholic Acedemy 83-09 157 Avenue in Howard Beach,40.6615023,-73.84953
1069,3/27/2024,100th Precinct Community Council Meeting,Knights of Columbus 330 Beach 90th Street Rockaway Beach,40.5886964,-73.8153226
1070,3/27/2024,"DA Meeting with 104th Precinct Commanding Officer, Captain Karam Chowdhury",12501 Queens Blvd.,40.7125112,-73.8258625
1071,3/28/2024,Mets Opening Day Ceremony,"41 Seaver Way, Corona",40.7573875,-73.8440987
1072,3/28/2024,Pomonok Houses Resident Association Meeting,Pomonok Community Center 67-09 Kissena Boulevard,40.7351206,-73.8141851
1073,4/1/2024,Community Board 11,"KCS, 20305 32 Ave., Bayside",40.7706146,-73.786298
1074,4/4/2024,111th Precinct Community Council,"111th Precinct, Bayside",40.7602729,-73.7675997
1075,4/6/2024,American Sofball Opening Day 2024,"Vito Locascio Field at 149th Avenue & Cross Bay Boulevard, Ozone Park NY",40.669935,-73.843928
1076,4/6/2024,Bayside St. Patrick's Day Parade,"35th Ave and 215 St., Bayside",40.7697466,-73.7701703
1077,12/9/2024,Community Board 9 Monthly Meeting,Queens Borough Hall,40.7137004,-73.8281571
1078,4/10/2024,Community Board 5,"6202 Metropolitan Ave., Middle Village",40.7126534,-73.8993581
1079,4/10/2024,Community Board 6 Meeting,Queens Borough Hall Room 213,40.7137004,-73.8281571
1080,4/10/2024,Community Board 8 Monthly Meeting,Hillcrest Jewish Center 183-02 Union Turnpike in Fresh Meadows,40.7277029,-73.7851235
1081,4/10/2024,Ravenswood Houses Resident Association,"Ravenswood Community Center 35-40 21 Street, Long Island City",40.760657,-73.9363567
1082,4/11/2024,110th Community Precinct Council Meeting,"VFW in Corona, 511 108th St. Corona NY",40.7437945,-73.8551959
1083,4/14/2024,Met Council Passover Food Distribution at Tomchei Shabbos,"12901 Metropolitan Ave., Kew Gardens",40.703977,-73.823262
1084,4/14/2024,Street Naming Ceremony Honoring Former Assemblymember Nettie Mayersohn,161st Street and Jewel Avenue,40.7318876,-73.8079041
1085,4/16/2024,115 Precinct Community Council Meeting,"115th Precinct 92-15 Northern Blvd, Jackson Heights",40.7568763,-73.8754942
1086,4/16/2024,Community Board 1 Meeting,Astoria World Manor,40.7709,-73.9223
1087,4/16/2024,FCBA Press Conference on Mother's and Father's Day evens,FCBA Offive Main Street in Flushing 4048 Main Street Flushing,40.7583109,-73.8297577
1088,4/17/2024,Astoria Houses Resident Association,4-05 Astoria Boulevard,40.7732656,-73.9337288
1089,4/17/2024,Community Board 12,Hybrid- Robert Ross Johnson Family life Center / Virtual,40.6922353,-73.7779984
1090,4/17/2024,Queens Village Civic Associaion,Bethsaida Spirituality Center at Our Lady of Lourdes School Building 92-70 220 Street,40.7236722,-73.7370602
1091,4/23/2024,114th Community Precicnt Council Meeting,Astoria World Manor,40.7709,-73.9223
1092,4/24/2024,PSA 9 Precinct Community Council Meeting,"Jacob Riis Settlement - 10-25 41st Street, Long Island City",40.7555691,-73.9445649
1093,4/25/2024,Pomonok Houses Resident Association Meeting,Pomonok Community Center 67-09 Kissena Boulevard,40.7351206,-73.8141851
1094,4/26/2024,Baisley Park Houses Resident Association Meeting,"164-01 Foch Boulevard, Apt 1G",40.6850103,-73.7822359
1095,4/30/2024,Howard Beach Lindenwood Civic Association Meeting,St. Helen's Catholic Academy in Howard Beach,40.6615023,-73.84953
1096,5/2/2024,111th Precinct Community Council Meeting,"4506 215 St., Bayside",40.7602441,-73.7677809
1097,5/5/2024,Queens Vet Center Dedication,Queens Vet Center 5005 Metropolitan Avenue in Ridgewood,40.7138149,-73.9161457
1098,5/6/2024,Community Board 11 Meeting,"KCS, 20305 32 Ave., Bayside",40.7706146,-73.786298
1099,5/7/2024,India Home Elder Fraud Presentation,"9753 104th st, Jamaica NY-11416",40.6866531,-73.8389543
1100,5/8/2024,Community Board 5 Meeting,"6202 Metropolitan Ave., Middle Village",40.7126534,-73.8993581
1101,5/8/2024,Community Board 6 Meeting,Queens Borough Hall Room 213,40.7137004,-73.8281571
1102,5/8/2024,Community Board 8 Monthly Meeting,Hillcrest Jewish Center 183-02 Union Turnpike in Fresh Meadows,40.7277029,-73.7851235
1103,5/8/2024,Queensbridge Resident Association Meeting,"Jacob Riis Settlement - 10-25 41st Street, Long Island City",40.7555691,-73.9445649
1104,5/9/2024,110th Community Precinct Council Meeting,"VFW in Corona, 511 108th St. Corona NY",40.7437945,-73.8551959
1105,5/11/2024,4th Annual KAFSC AAPI Family Fun Day,Kissena Corridor Park Colden Spring and 45th Avenue in Flushing,40.7472926,-73.8205452
1106,5/14/2024,Community Board 9 Monthly Meeting,Queens Borough Hall,40.7137004,-73.8281571
1108,5/15/2024,Community Board 12,Hybrid- Robert Ross Johnson Family life Center / Virtual,40.6922353,-73.7779984
1109,5/17/2024,Baisley Park Houses Resident Association Meeting,"164-01 Foch Boulevard, Apt 1G",40.6850103,-73.7822359
1110,5/19/2024,102 PCT Cops and Kids Block Party,118th Street and Jamaica Avenue,40.6997774,-73.8317953
1111,5/20/2024,113th Precinct Council Meeting,157-11 Rockaway Blvd,40.6661851,-73.7789924
1112,5/20/2024,East Elmhurst Civic Association Meeting,Southern Baptist Church 97-09 Astoria Blvd. East Elmhurst,40.7627566,-73.871976
1113,5/21/2024,104th Precinct Community Council Meeting,St. Margaret's Middle Village,40.7158445,-73.8722606
1114,5/21/2024,Community Board 1 Meeting,Astoria World Manor,40.7709,-73.9223
1115,5/22/2024,Queens Public Library Tabling Cambria Heights,"21813 Queens Blvd., Cambria Heights",40.692158,-73.7330753
1116,5/23/2024,Queens DA Jewish JHeritage Month Celebration,Queens College,40.736746,-73.8203195
1117,5/23/2024,Queens DA's Memorial Day Observance Ceremony,Vietnam Veterans Memorial in Elmhurst Park 79 Street and Grand Avenue in Elmhurst,40.7307898,-73.8852141
1118,5/24/2024,Lavender Graduation,Queens College,40.736746,-73.8203195
