,index,full_date,Date,Month,Week #,Day,Year,Event,Staff Supervisor,Event Coordinator,DA Speaking?,Time,Briefing,Location,Location_Parse,location_parse,address_string,zip,county,state,city,Latitude,Longitude,Accuracy Score,County,Source,review,is_zoom,Manually Add Address,dedupe_mask,is_zoom_v2,is_blank,lat_long_gmaps
1826,1826,10/19/2022,19-Oct,10,43,Wed,2022,Community Board 12  Meeting,Marlon,Rev. Carlene Thorbs,NO,7:00 PM,No,"""Meeting ID: 925 3922 5697 Passcode: CB12
""","[('Meeting', 'Recipient'), ('ID:', 'Recipient'), ('925', 'SubaddressIdentifier'), ('3922', 'SubaddressIdentifier'), ('5697', 'AddressNumber'), ('Passcode:', 'StreetName'), ('CB12\n', 'OccupancyIdentifier')]","[('Meeting', 'Recipient'), ('ID:', 'Recipient'), ('925', 'SubaddressIdentifier'), ('3922', 'SubaddressIdentifier'), ('5697', 'AddressNumber'), ('Passcode:', 'StreetName'), ('CB12\n', 'OccupancyIdentifier')]",5697 Passcode:,,Queens,New York,New York City,,,0,,,Manual Review,FALSE,,MarlonRev. Carlene ThorbsOct-197:00 PM,TRUE,FALSE,
1827,1827,10/19/2022,19-Oct,10,43,Wed,2022,101 Precinct Commuity Council Meeting,Dan,Arlene Cauley- President,NO,6:30 PM,No,Church of God Assembly - 1332 Central Avenue in Far Rockaway,"[('Church', 'Recipient'), ('of', 'Recipient'), ('God', 'Recipient'), ('Assembly', 'Recipient'), ('1332', 'AddressNumber'), ('Central', 'StreetName'), ('Avenue', 'StreetName'), ('in', 'StreetName'), ('Far', 'StreetName'), ('Rockaway', 'StreetName')]","[('Church', 'Recipient'), ('of', 'Recipient'), ('God', 'Recipient'), ('Assembly', 'Recipient'), ('1332', 'AddressNumber'), ('Central', 'StreetName'), ('Avenue', 'StreetName'), ('in', 'StreetName'), ('Far', 'StreetName'), ('Rockaway', 'StreetName')]",1332 Central Avenue in Far Rockaway,,Queens,New York,New York City,40.6069088,-73.750199,0.7,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DanArlene Cauley- PresidentOct-196:30 PM,FALSE,FALSE,"[40.6069088, -73.750199]"
1828,1828,10/19/2022,19-Oct,10,43,Wed,2022,112th Community Precicnt  Council,Tara,Heidi Chain,NO,7:30 PM,,,"[('nan', 'Recipient')]","[('nan', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,,,TaraHeidi ChainOct-197:30 PM,FALSE,TRUE,
1829,1829,10/19/2022,19-Oct,10,43,Wed,2022,Patrol Borough Queens South Recent Graduates Orientation,Marlon,Sgt. Ronald Wilson,YES,8:00 AM,Marlon,"107th Precinct Muster Room 71-01 Parsons Boulevard Fresh Meadows, NY 11365","[('107th', 'Recipient'), ('Precinct', 'Recipient'), ('Muster', 'Recipient'), ('Room', 'Recipient'), ('71-01', 'AddressNumber'), ('Parsons', 'StreetName'), ('Boulevard', 'StreetNamePostType'), ('Fresh', 'PlaceName'), ('Meadows,', 'PlaceName'), ('NY', 'StateName'), ('11365', 'ZipCode')]","[('107th', 'Recipient'), ('Precinct', 'Recipient'), ('Muster', 'Recipient'), ('Room', 'Recipient'), ('71-01', 'AddressNumber'), ('Parsons', 'StreetName'), ('Boulevard', 'StreetNamePostType'), ('Fresh', 'PlaceName'), ('Meadows,', 'PlaceName'), ('NY', 'StateName'), ('11365', 'ZipCode')]",71-01 Parsons Boulevard Fresh Meadows,11365,Queens,New York,New York City,40.730117,-73.810739,1,Queens County,City of New York,No Review Needed,FALSE,,MarlonSgt. Ronald WilsonOct-198:00 AM,FALSE,FALSE,
1830,1830,10/20/2022,20-Oct,10,43,Thu,2022,Clearview Self Help Senior Center Visit,Kate,Kate,YES,11:15 AM,Kate,"20811 26 Ave., Bayside 11360","[('20811', 'AddressNumber'), ('26', 'StreetName'), ('Ave.,', 'StreetNamePostType'), ('Bayside', 'PlaceName'), ('11360', 'ZipCode')]","[('20811', 'AddressNumber'), ('26', 'StreetName'), ('Ave.,', 'StreetNamePostType'), ('Bayside', 'PlaceName'), ('11360', 'ZipCode')]",20811 26 Ave. Bayside,11360,Queens,New York,New York City,40.776571,-73.783759,1,Queens County,City of New York,No Review Needed,FALSE,,KateKateOct-2011:15 AM,FALSE,FALSE,
1831,1831,10/20/2022,20-Oct,10,43,Thu,2022,Commonpoint Queens Sam Field Senior Center Visit,Kate,Kate,NO,12:00 PM,Kate,"5820 Little Neck Parkway, Little Neck","[('5820', 'AddressNumber'), ('Little', 'StreetName'), ('Neck', 'StreetName'), ('Parkway,', 'StreetNamePostType'), ('Little', 'PlaceName'), ('Neck', 'PlaceName')]","[('5820', 'AddressNumber'), ('Little', 'StreetName'), ('Neck', 'StreetName'), ('Parkway,', 'StreetNamePostType'), ('Little', 'PlaceName'), ('Neck', 'PlaceName')]",5820 Little Neck Parkway Little Neck,,Queens,New York,New York City,40.7608369,-73.7232837,0.5,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,KateKateOct-2012:00 PM,FALSE,FALSE,"[40.7608369, -73.7232837]"
1832,1832,10/20/2022,20-Oct,10,43,Thu,2022,Communuty Board 3 Meeting,Dan,Frank Taylor- Chairperson,NO,7:00 PM,NO,PS 69 77-02 37th Avenue Jackson Heights,"[('PS', 'SubaddressType'), ('69', 'SubaddressIdentifier'), ('77-02', 'AddressNumber'), ('37th', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('Jackson', 'BuildingName'), ('Heights', 'BuildingName')]","[('PS', 'SubaddressType'), ('69', 'SubaddressIdentifier'), ('77-02', 'AddressNumber'), ('37th', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('Jackson', 'BuildingName'), ('Heights', 'BuildingName')]",77-02 37th Avenue,,Queens,New York,New York City,40.7489014,-73.8885269,0.8,New York County,City of New York,Manual Review,FALSE,,DanFrank Taylor- ChairpersonOct-207:00 PM,FALSE,FALSE,"[40.7489014, -73.8885269]"
1833,1833,10/20/2022,20-Oct,10,43,Thu,2022,Elmer H. Blackburne Club Membership Meeting,Marlon,Jacqueline Boyce,NO,7:00 PM,Marlon,"220-13 Merrick Blvd. Laurelton, NY","[('220-13', 'AddressNumber'), ('Merrick', 'StreetName'), ('Blvd.', 'StreetNamePostType'), ('Laurelton,', 'PlaceName'), ('NY', 'StateName')]","[('220-13', 'AddressNumber'), ('Merrick', 'StreetName'), ('Blvd.', 'StreetNamePostType'), ('Laurelton,', 'PlaceName'), ('NY', 'StateName')]",220-13 Merrick Blvd. Laurelton,,Queens,New York,New York City,40.678694,-73.748235,0.8,Queens County,TIGER/Line® dataset from the US Census Bureau,No Review Needed,FALSE,,MarlonJacqueline BoyceOct-207:00 PM,FALSE,FALSE,
1834,1834,10/21/2022,21-Oct,10,43,Fri,2022,RB&CA Rosedale Blocks and Community Association,Marlon,Stacey Osbourne,NO,7:30 PM,No,Virtual - Zoom,"[('Virtual', 'Recipient'), ('Zoom', 'Recipient')]","[('Virtual', 'Recipient'), ('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,MarlonStacey OsbourneOct-217:30 PM,TRUE,FALSE,
1835,1835,10/22/2022,22-Oct,10,43,Sat,2022,Patrol Borough Queens North 5K,Dan,PO Monestine,NO,10:00 AM,NO,Flushing Meadows Corona Park (Skate Park),"[('Flushing', 'BuildingName'), ('Meadows', 'BuildingName'), ('Corona', 'BuildingName'), ('Park', 'BuildingName'), ('(Skate', 'BuildingName'), ('Park)', 'BuildingName')]","[('Flushing', 'BuildingName'), ('Meadows', 'BuildingName'), ('Corona', 'BuildingName'), ('Park', 'BuildingName'), ('(Skate', 'BuildingName'), ('Park)', 'BuildingName')]",,,Queens,New York,New York City,40.7400625,-73.8406875,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DanPO MonestineOct-2210:00 AM,FALSE,FALSE,"[40.7400625, -73.8406875]"
1836,1836,10/22/2022,22-Oct,10,43,Sat,2022,Councilmember Nantasha Williams Fall Family Fun Day,Marlon,Ndeye Ndgom,YES,12:00 PM,Marlon,"217-60 Hollis Avenue Queens Village, NY 11429","[('217-60', 'AddressNumber'), ('Hollis', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('Queens', 'PlaceName'), ('Village,', 'PlaceName'), ('NY', 'StateName'), ('11429', 'ZipCode')]","[('217-60', 'AddressNumber'), ('Hollis', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('Queens', 'PlaceName'), ('Village,', 'PlaceName'), ('NY', 'StateName'), ('11429', 'ZipCode')]",217-60 Hollis Avenue Queens Village,11429,Queens,New York,New York City,40.710912,-73.740559,0.9,Queens County,City of New York,No Review Needed,FALSE,,MarlonNdeye NdgomOct-2212:00 PM,FALSE,FALSE,
1837,1837,10/24/2022,24-Oct,10,44,Mon,2022,Community Board 13 General Meeting,Rokeya,Bryan Block,NO,7:00 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,RokeyaBryan BlockOct-247:00 PM,FALSE,FALSE,
1838,1838,10/24/2022,24-Oct,10,44,Mon,2022,CPC-Senior Center,Elizabeth,Peter Cheng,YES,10:00 AM,Yes,"133-14 41st Ave, Queens, NY 11355","[('133-14', 'AddressNumber'), ('41st', 'StreetName'), ('Ave,', 'StreetNamePostType'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11355', 'ZipCode')]","[('133-14', 'AddressNumber'), ('41st', 'StreetName'), ('Ave,', 'StreetNamePostType'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11355', 'ZipCode')]",133-14 41st Ave Queens,11355,Queens,New York,New York City,40.757251,-73.831415,1,Queens County,City of New York,No Review Needed,FALSE,,ElizabethPeter ChengOct-2410:00 AM,FALSE,FALSE,
1839,1839,10/24/2022,24-Oct,10,44,Mon,2022,KCS-Senior Center,Kate,Helen Ahn,YES,11:30 AM,Elizabeth,"42-15 166th Street, Flushing","[('42-15', 'AddressNumber'), ('166th', 'StreetName'), ('Street,', 'StreetNamePostType'), ('Flushing', 'PlaceName')]","[('42-15', 'AddressNumber'), ('166th', 'StreetName'), ('Street,', 'StreetNamePostType'), ('Flushing', 'PlaceName')]",42-15 166th Street Flushing,,Queens,New York,New York City,40.7590357,-73.8001366,0.7,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,KateHelen AhnOct-2411:30 AM,FALSE,FALSE,"[40.7590357, -73.8001366]"
1840,1840,10/24/2022,24-Oct,10,44,Mon,2022,Jamaica Estates Association Membership Meeting,Tara,Martha Taylor,YES,8:00 PM,Elizabeth,"18114 Midland Pkwy, Queens, NY 11432","[('18114', 'AddressNumber'), ('Midland', 'StreetName'), ('Pkwy,', 'StreetNamePostType'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11432', 'ZipCode')]","[('18114', 'AddressNumber'), ('Midland', 'StreetName'), ('Pkwy,', 'StreetNamePostType'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11432', 'ZipCode')]",18114 Midland Pkwy Queens,11432,Queens,New York,New York City,40.720458,-73.784541,1,Queens County,City of New York,No Review Needed,FALSE,,TaraMartha TaylorOct-248:00 PM,FALSE,FALSE,
1841,1841,10/24/2022,24-Oct,10,44,Mon,2022,Meeting with R. LittleJohn Guns for Grants,Cathleen,Cathleen,NO,3:00 PM,No,Webex,"[('Webex', 'PlaceName')]","[('Webex', 'PlaceName')]",Webex,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,CathleenCathleenOct-243:00 PM,TRUE,FALSE,
1842,1842,10/25/2022,25-Oct,10,44,Tue,2022,Jefferson Democratic Club/FDR Club Meeting,Kate,David Fischer,YES,7:00 PM,Kate,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,KateDavid FischerOct-257:00 PM,FALSE,FALSE,
1843,1843,10/25/2022,25-Oct,10,44,Tue,2022,Howard Beach Lindenwood Civic Association Meeting,Dan,Barbara McNamara,YES,7:00 PM,Dan,St. Helen Catholic Academy 83-09 157th Avenue Howard Beach,"[('St.', 'Recipient'), ('Helen', 'Recipient'), ('Catholic', 'Recipient'), ('Academy', 'Recipient'), ('83-09', 'Recipient'), ('157th', 'AddressNumber'), ('Avenue', 'StreetNamePreType'), ('Howard', 'StreetName'), ('Beach', 'StreetNamePostType')]","[('St.', 'Recipient'), ('Helen', 'Recipient'), ('Catholic', 'Recipient'), ('Academy', 'Recipient'), ('83-09', 'Recipient'), ('157th', 'AddressNumber'), ('Avenue', 'StreetNamePreType'), ('Howard', 'StreetName'), ('Beach', 'StreetNamePostType')]",157th Howard Beach,,Queens,New York,New York City,40.6615023,-73.84953,0.9,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DanBarbara McNamaraOct-257:00 PM,FALSE,FALSE,"[40.6615023, -73.84953]"
1844,1844,10/25/2022,25-Oct,10,44,Tue,2022,107 PCT Council Meeting,Elizabeth,107 PCT,NO,7:00 PM,No,https://www.zoomgov.com/j/1609437841?pwd=NE1tQytPWW5kZit4OUovL1VqTzYxZz09,"[('https://www.zoomgov.com/j/1609437841?pwd=NE1tQytPWW5kZit4OUovL1VqTzYxZz09', 'OccupancyIdentifier')]","[('https://www.zoomgov.com/j/1609437841?pwd=NE1tQytPWW5kZit4OUovL1VqTzYxZz09', 'OccupancyIdentifier')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,Elizabeth107 PCTOct-257:00 PM,FALSE,FALSE,
1845,1845,10/25/2022,25-Oct,10,44,Tue,2022,114th Precinct Community Council,Kate,Ann Bruno,NO,7:00 PM,NO,2522 Astoria Blvd,"[('2522', 'AddressNumber'), ('Astoria', 'StreetName'), ('Blvd', 'StreetNamePostType')]","[('2522', 'AddressNumber'), ('Astoria', 'StreetName'), ('Blvd', 'StreetNamePostType')]",2522 Astoria Blvd,,Queens,New York,New York City,40.7710127,-73.9221338,0.7,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,KateAnn BrunoOct-257:00 PM,FALSE,FALSE,"[40.7710127, -73.9221338]"
1846,1846,10/25/2022,25-Oct,10,44,Tue,2022,PBQS Shooting Statistics Meeting,Marlon,Chief Kevin Williams,NO,5:00 PM,No,Virtual Zoom,"[('Virtual', 'Recipient'), ('Zoom', 'Recipient')]","[('Virtual', 'Recipient'), ('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,MarlonChief Kevin WilliamsOct-255:00 PM,TRUE,FALSE,
1847,1847,10/26/2022,26-Oct,10,44,Wed,2022,105 PCT Council Meeting,Rokeya,105 PCT,NO,7:00 PM,,"105 PCT  92-08 222nd St, Queens, NY 11428","[('105', 'AddressNumber'), ('PCT', 'StreetNamePreDirectional'), ('92-08', 'StreetName'), ('222nd', 'StreetName'), ('St,', 'StreetNamePostType'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11428', 'ZipCode')]","[('105', 'AddressNumber'), ('PCT', 'StreetNamePreDirectional'), ('92-08', 'StreetName'), ('222nd', 'StreetName'), ('St,', 'StreetNamePostType'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11428', 'ZipCode')]",105 92-08 222nd St Queens,11428,Queens,New York,New York City,40.726301,-73.734551,0.9,Queens County,City of New York,No Review Needed,FALSE,,Rokeya105 PCTOct-267:00 PM,FALSE,FALSE,
1848,1848,10/26/2022,26-Oct,10,44,Wed,2022,Community Board 8 Board meeting,Elizabeth,CB8,NO,7:30 PM,,Hillcrest Jewish Center,"[('Hillcrest', 'BuildingName'), ('Jewish', 'BuildingName'), ('Center', 'BuildingName')]","[('Hillcrest', 'BuildingName'), ('Jewish', 'BuildingName'), ('Center', 'BuildingName')]",,,Queens,New York,New York City,40.7277029,-73.7851235,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,ElizabethCB8Oct-267:30 PM,FALSE,FALSE,"[40.7277029, -73.7851235]"
1849,1849,10/26/2022,26-Oct,10,44,Wed,2022,PSA 9 Precinct Community Council Meeting,Marlon,Det. Latoya McCleod,NO,7:00 PM,No,Ravenswood  Community Center 35-40 21st street,"[('Ravenswood', 'BuildingName'), ('Community', 'BuildingName'), ('Center', 'BuildingName'), ('35-40', 'AddressNumber'), ('21st', 'StreetName'), ('street', 'StreetNamePostType')]","[('Ravenswood', 'BuildingName'), ('Community', 'BuildingName'), ('Center', 'BuildingName'), ('35-40', 'AddressNumber'), ('21st', 'StreetName'), ('street', 'StreetNamePostType')]",35-40 21st street,,Queens,New York,New York City,,,0.8,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,MarlonDet. Latoya McCleodOct-267:00 PM,FALSE,FALSE,
1850,1850,10/26/2022,26-Oct,10,44,Wed,2022,108th Precicnt Community Council,Tara,Diane Ballek,NO,7:00 PM,No,TBD,"[('TBD', 'CountryName')]","[('TBD', 'CountryName')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,TaraDiane BallekOct-267:00 PM,TRUE,TRUE,
1851,1851,10/26/2022,26-Oct,10,44,Wed,2022,Aamir Griffin Sunset Prayer Cops & Kids Basketball Game,Marlon,Det. Tanya Duhaney,NO,5:00 PM,No,"116-80 Guy R Brewer Boulevard, Jamaica NY","[('116-80', 'AddressNumber'), ('Guy', 'StreetName'), ('R', 'StreetName'), ('Brewer', 'StreetName'), ('Boulevard,', 'StreetNamePostType'), ('Jamaica', 'PlaceName'), ('NY', 'StateName')]","[('116-80', 'AddressNumber'), ('Guy', 'StreetName'), ('R', 'StreetName'), ('Brewer', 'StreetName'), ('Boulevard,', 'StreetNamePostType'), ('Jamaica', 'PlaceName'), ('NY', 'StateName')]",116-80 Guy R Brewer Boulevard Jamaica,,Queens,New York,New York City,40.684277,-73.783016,0.8,Queens County,TIGER/Line® dataset from the US Census Bureau,No Review Needed,FALSE,,MarlonDet. Tanya DuhaneyOct-265:00 PM,FALSE,FALSE,
1852,1852,10/26/2022,26-Oct,10,44,Wed,2022,India Home Senior Center TIRE meeting,Rokeya,India Home,NO,4:00 PM,,https://indiahome.zoom.us/j/97055848487?,"[('https://indiahome.zoom.us/j/97055848487?', 'OccupancyIdentifier')]","[('https://indiahome.zoom.us/j/97055848487?', 'OccupancyIdentifier')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,RokeyaIndia HomeOct-264:00 PM,FALSE,FALSE,
1853,1853,10/26/2022,26-Oct,10,44,Wed,2022,Borough President's Healthy Relationships Resource Fair,Kate,Michael,NO,6:00 PM,No,Borough Hall,"[('Borough', 'Recipient'), ('Hall', 'Recipient')]","[('Borough', 'Recipient'), ('Hall', 'Recipient')]",,,Queens,New York,New York City,40.6928442,-73.990303,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,KateMichaelOct-266:00 PM,FALSE,FALSE,"[40.6928442, -73.990303]"
1854,1854,10/27/2022,27-Oct,10,44,Thu,2022,Schneps Media Queens Power List Event,Kate,Demetra Mattone,YES,6:45 PM,Kate,Terrace on the Park,"[('Terrace', 'BuildingName'), ('on', 'BuildingName'), ('the', 'BuildingName'), ('Park', 'BuildingName')]","[('Terrace', 'BuildingName'), ('on', 'BuildingName'), ('the', 'BuildingName'), ('Park', 'BuildingName')]",,,Queens,New York,New York City,40.7445402,-73.850749,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,KateDemetra MattoneOct-276:45 PM,FALSE,FALSE,"[40.7445402, -73.850749]"
1855,1855,10/27/2022,27-Oct,10,44,Thu,2022,Fred Wilson Democratic Club,Marlon,Dr. Anthony Andrews Jr.,YES,7:00 PM,Marlon,"Brooks Memorial United Methodist Church 43-22 109th Avenue Jamaica, NY 11435","[('Brooks', 'Recipient'), ('Memorial', 'Recipient'), ('United', 'Recipient'), ('Methodist', 'Recipient'), ('Church', 'Recipient'), ('43-22', 'AddressNumber'), ('109th', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('Jamaica,', 'PlaceName'), ('NY', 'StateName'), ('11435', 'ZipCode')]","[('Brooks', 'Recipient'), ('Memorial', 'Recipient'), ('United', 'Recipient'), ('Methodist', 'Recipient'), ('Church', 'Recipient'), ('43-22', 'AddressNumber'), ('109th', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('Jamaica,', 'PlaceName'), ('NY', 'StateName'), ('11435', 'ZipCode')]",43-22 109th Avenue Jamaica,11435,Queens,New York,New York City,40.68761,-73.806992,0.9,Queens County,TIGER/Line® dataset from the US Census Bureau,No Review Needed,FALSE,,MarlonDr. Anthony Andrews Jr.Oct-277:00 PM,FALSE,FALSE,
1856,1856,10/27/2022,27-Oct,10,44,Thu,2022,PAL Legal Luncheon,Dan,Police Athletic League,YES,11:30 AM,Dan,"The Pierre Fifth Avenue 2 E 61st St. New York, NY 10065","[('The', 'BuildingName'), ('Pierre', 'BuildingName'), ('Fifth', 'BuildingName'), ('Avenue', 'BuildingName'), ('2', 'AddressNumber'), ('E', 'StreetNamePreDirectional'), ('61st', 'StreetName'), ('St.', 'StreetNamePostType'), ('New', 'PlaceName'), ('York,', 'PlaceName'), ('NY', 'StateName'), ('10065', 'ZipCode')]","[('The', 'BuildingName'), ('Pierre', 'BuildingName'), ('Fifth', 'BuildingName'), ('Avenue', 'BuildingName'), ('2', 'AddressNumber'), ('E', 'StreetNamePreDirectional'), ('61st', 'StreetName'), ('St.', 'StreetNamePostType'), ('New', 'PlaceName'), ('York,', 'PlaceName'), ('NY', 'StateName'), ('10065', 'ZipCode')]",2 61st St. New York,10065,Queens,New York,New York City,40.7651828,-73.9718937,1,New York County,City of New York,Manual Review,FALSE,,DanPolice Athletic LeagueOct-2711:30 AM,FALSE,FALSE,"[40.7651828, -73.9718937]"
1857,1857,10/27/2022,27-Oct,10,44,Thu,2022,Joint Terroism Task Force 40th Anniversary Dinner,Dan,Cathy Kane,YES,5:00 PM,Dan,"Giando on the Water 400 Kent Avenue Brooklyn, NY 11249","[('Giando', 'Recipient'), ('on', 'Recipient'), ('the', 'Recipient'), ('Water', 'Recipient'), ('400', 'AddressNumber'), ('Kent', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('Brooklyn,', 'PlaceName'), ('NY', 'StateName'), ('11249', 'ZipCode')]","[('Giando', 'Recipient'), ('on', 'Recipient'), ('the', 'Recipient'), ('Water', 'Recipient'), ('400', 'AddressNumber'), ('Kent', 'StreetName'), ('Avenue', 'StreetNamePostType'), ('Brooklyn,', 'PlaceName'), ('NY', 'StateName'), ('11249', 'ZipCode')]",400 Kent Avenue Brooklyn,11249,Queens,New York,New York City,40.7107359,-73.969274,1,Kings County,City of New York,Manual Review,FALSE,,DanCathy KaneOct-275:00 PM,FALSE,FALSE,"[40.7107359, -73.969274]"
1858,1858,10/27/2022,27-Oct,10,44,Thu,2022,King of Kings Open House,Marlon,Mathieu Jean-Pierre,NO,3:00 PM,No,"106-56 Guy R. Brewer Blvd, Jamaica, NY 11433","[('106-56', 'AddressNumber'), ('Guy', 'StreetName'), ('R.', 'StreetName'), ('Brewer', 'StreetName'), ('Blvd,', 'StreetNamePostType'), ('Jamaica,', 'PlaceName'), ('NY', 'StateName'), ('11433', 'ZipCode')]","[('106-56', 'AddressNumber'), ('Guy', 'StreetName'), ('R.', 'StreetName'), ('Brewer', 'StreetName'), ('Blvd,', 'StreetNamePostType'), ('Jamaica,', 'PlaceName'), ('NY', 'StateName'), ('11433', 'ZipCode')]",106-56 Guy R. Brewer Blvd Jamaica,11433,Queens,New York,New York City,40.698188,-73.792751,1,Queens County,City of New York,No Review Needed,FALSE,,MarlonMathieu Jean-PierreOct-273:00 PM,FALSE,FALSE,
1859,1859,10/28/2022,28-Oct,10,44,Fri,2022,The Greater Allen AME Cathedral of NY Domestic Violence virtual Conversation,Rokeya,The Greater Allen AME Cathedral of NY,NO,7:00 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,RokeyaThe Greater Allen AME Cathedral of NYOct-287:00 PM,FALSE,FALSE,
1860,1860,10/28/2022,28-Oct,10,44,Fri,2022,Governor Hochul's Visit to Far Rockaway,Dan,Governor's Office,YES,12:00 PM,Dan,"Far Rockaway Church of the Nazarene 1414 Central Ave, Far Rockaway, NY 11691","[('Far', 'Recipient'), ('Rockaway', 'Recipient'), ('Church', 'Recipient'), ('of', 'Recipient'), ('the', 'Recipient'), ('Nazarene', 'Recipient'), ('1414', 'AddressNumber'), ('Central', 'StreetName'), ('Ave,', 'StreetNamePostType'), ('Far', 'PlaceName'), ('Rockaway,', 'PlaceName'), ('NY', 'StateName'), ('11691', 'ZipCode')]","[('Far', 'Recipient'), ('Rockaway', 'Recipient'), ('Church', 'Recipient'), ('of', 'Recipient'), ('the', 'Recipient'), ('Nazarene', 'Recipient'), ('1414', 'AddressNumber'), ('Central', 'StreetName'), ('Ave,', 'StreetNamePostType'), ('Far', 'PlaceName'), ('Rockaway,', 'PlaceName'), ('NY', 'StateName'), ('11691', 'ZipCode')]",1414 Central Ave Far Rockaway,11691,Queens,New York,New York City,40.606941,-73.750054,0.82,Queens County,City of New York,No Review Needed,FALSE,,DanGovernor's OfficeOct-2812:00 PM,FALSE,FALSE,
1861,1861,10/29/2022,29-Oct,10,44,Sat,2022,Hamilton Beach Civic Association 10th Annual Hurricane Sandy Vigil,Dan,Roger Gendron,NO,7:00 PM,,"Hamilton Beach Volunteer Firehouse 102-33 Davenport Ct, Howard Beach, NY 11414","[('Hamilton', 'Recipient'), ('Beach', 'Recipient'), ('Volunteer', 'Recipient'), ('Firehouse', 'Recipient'), ('102-33', 'AddressNumber'), ('Davenport', 'StreetName'), ('Ct,', 'StreetNamePostType'), ('Howard', 'PlaceName'), ('Beach,', 'PlaceName'), ('NY', 'StateName'), ('11414', 'ZipCode')]","[('Hamilton', 'Recipient'), ('Beach', 'Recipient'), ('Volunteer', 'Recipient'), ('Firehouse', 'Recipient'), ('102-33', 'AddressNumber'), ('Davenport', 'StreetName'), ('Ct,', 'StreetNamePostType'), ('Howard', 'PlaceName'), ('Beach,', 'PlaceName'), ('NY', 'StateName'), ('11414', 'ZipCode')]",102-33 Davenport Ct Howard Beach,11414,Queens,New York,New York City,40.653755,-73.82843,1,Queens County,City of New York,No Review Needed,FALSE,,DanRoger GendronOct-297:00 PM,FALSE,FALSE,
1862,1862,10/30/2022,30-Oct,10,44,Sun,2022,112th Precinct Community Council Street Fair,Tara,Heidi Chain,NO,11:00 AM,,"MacDonalds Park, Queens Blvd","[('MacDonalds', 'LandmarkName'), ('Park,', 'LandmarkName'), ('Queens', 'PlaceName'), ('Blvd', 'StreetNamePostType')]","[('MacDonalds', 'LandmarkName'), ('Park,', 'LandmarkName'), ('Queens', 'PlaceName'), ('Blvd', 'StreetNamePostType')]",Blvd Queens,,Queens,New York,New York City,40.7221935,-73.8467117,0.5,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,TaraHeidi ChainOct-3011:00 AM,FALSE,FALSE,"[40.7221935, -73.8467117]"
